Wavelength (nm),EQE
307.2535875,-1.109220048
323.6184575,-0.062124287
331.9665033,2.010229608
336.262779,4.719020817
340.0118803,13.92321094
340.9603366,18.91718038
339.8962149,16.0412758
341.0297358,23.52251407
340.9927229,27.35057625
341.3397191,30.79000268
341.6103762,34.5500536
341.5617967,38.42669526
341.8579001,42.07987135
342.2187762,45.46100241
342.2002697,47.98713482
342.6444249,51.0184937
343.1024599,53.99155722
343.546615,57.02291611
344.1712082,60.11257036
345.4574075,64.50415438
346.1976661,67.92414902
350.3283089,77.99758778
358.4119326,80.28276601
368.0167877,81.565264
374.8615358,84.64659034
384.7811209,87.0556273
397.3360747,88.18973709
410.229192,87.90355985
423.0365067,87.97775395
435.5662243,89.21785532
448.1640794,90.17177944
460.8729733,90.65934066
473.7030004,90.63814235
486.5330276,90.61694403
499.3605311,90.60634487
512.1451332,90.77593139
524.9423534,90.89252211
537.8379944,90.59574572
550.80682,89.99159377
563.8034053,89.2708511
576.7671836,88.68789747
589.7233912,88.13674131
602.5761308,88.02015058
616.7436706,87.89031091
628.339653,87.54318852
641.247912,87.19341634
654.1359821,86.92843742
667.2259409,85.81552594
680.4218913,84.25744987
693.5421334,83.01734851
706.6447103,81.85144124
719.800283,80.46295168
731.7736851,79.1427678
746.0289062,77.54288395
757.4471635,76.59558429
773.3865921,75.756926
786.4134607,74.90899345
794.9886834,69.49812383
794.4334895,73.05414098
802.9187034,64.34870008
806.407172,59.49075315
809.9927995,54.22473868
812.8936878,49.38622353
815.9009883,44.10077727
818.174199,39.45010274
820.4628318,34.73465559
824.0345794,29.52693648
826.9609141,24.5815465
831.0392762,19.69445189
836.3228719,14.64218708
842.7261086,9.78424015
849.6808379,5.058429376
862.2504286,1.234253551
885.5352623,-1.07424283
909.520145,-1.426134841
922.2921291,-1.203552545
934.0370044,-1.563923881
943.2809834,-1.214151702
